id_emp,latitude,longitude,type
2676459,-22.2171,-49.9501,FINAL
2676664,-23.2983,-45.9658,FINAL
2677030,-22.0174,-47.886,FINAL
2677143,-22.2171,-49.9501,FINAL
2677162,-23.5329,-46.6395,PTO_IBAMA
2677463,-23.1896,-45.8841,FINAL
2677481,-23.4969,-47.4451,FINAL
2677501,-23.5329,-46.6395,FINAL
2678047,-23.4538,-46.5333,FINAL
2678440,-23.5329,-46.6395,FINAL
2678569,-23.5329,-46.6395,FINAL
2678701,-23.5886,-48.0483,FINAL
2678721,-23.4969,-47.4451,FINAL
2678854,-20.1727,-49.7064,FINAL
2678945,-23.5446,-47.4388,FINAL
2679466,-22.9527,-46.5419,FINAL
2679819,-19.9868,-49.6836,FINAL
2680221,-23.5329,-46.6395,PTO_IBAMA
2680240,-23.3172,-46.2237,FINAL
2680251,-23.5329,-46.6395,FINAL
2680669,-23.5329,-46.6395,FINAL
2681436,-23.1101,-47.7164,FINAL
2681640,-23.6019,-46.7526,FINAL
2682014,-23.4439,-46.9178,FINAL
2682025,-23.5208,-46.1854,FINAL
2682096,-22.4146,-49.818,FINAL
2682517,-23.5329,-46.6395,FINAL
2682549,-23.5208,-46.1854,FINAL
2682577,-22.9797,-49.8697,FINAL
2682691,-23.4332,-45.0834,FINAL
2682766,-20.4036,-47.4209,FINAL
2682996,-22.0174,-47.886,FINAL
2683051,-23.3487,-47.8461,FINAL
2683229,-20.2806,-50.2471,PTO_IBAMA
2683360,-23.5329,-46.6395,FINAL
2683588,-22.927,-46.2741,FINAL
2684082,-23.1896,-45.8841,FINAL
2684220,-23.6437,-46.8579,FINAL
2684406,-23.9888,-46.258,FINAL
2684414,-23.5329,-46.6395,PTO_IBAMA
2684679,-22.1207,-51.3925,PTO_IBAMA
2684942,-23.5329,-46.6395,FINAL
2685211,-23.7951,-45.4143,FINAL
2685218,-23.5329,-46.6395,FINAL
2685505,-20.8113,-49.3758,PTO_IBAMA
2685761,-23.1747,-46.3983,FINAL
2686027,-23.355,-46.8781,FINAL
2686280,-23.3933,-45.8875,FINAL
2686344,-23.5993,-47.022,FINAL
2686375,-23.5208,-46.1854,FINAL
2686913,-21.1699,-47.8099,FINAL
2687217,-23.5329,-46.6395,FINAL
2687444,-23.1896,-45.8841,FINAL
2687819,-19.9102,-43.9266,FINAL
2687835,-23.1852,-46.8974,PTO_IBAMA
2687938,-22.2171,-49.9501,FINAL
2688197,-22.0174,-47.886,FINAL
2688437,-20.8113,-49.3758,FINAL
2688522,-23.2983,-45.9658,FINAL
2689365,-23.5329,-46.6395,FINAL
2689388,-23.6022,-46.919,FINAL
2689471,-23.5329,-46.6395,FINAL
2689545,-23.5448,-46.3112,FINAL
2689981,-23.5329,-46.6395,FINAL
2690413,-23.4439,-46.9178,FINAL
2690434,-23.9888,-46.258,FINAL
2690710,-22.2171,-49.9501,PTO_IBAMA
2691152,-23.2544,-47.2927,FINAL
2691346,-20.1444,-50.1973,PTO_IBAMA
2691466,-23.0011,-44.3196,FINAL
2691478,-23.5329,-46.6395,FINAL
2691507,-22.7374,-47.3331,FINAL
2691516,-23.5329,-46.6395,FINAL
2691727,-23.9888,-46.258,FINAL
2692280,-22.7374,-47.3331,FINAL
2692287,-20.9845,-47.6572,FINAL
2692491,-23.5329,-46.6395,FINAL
2692572,-20.4237,-49.9781,FINAL
2692690,-12.9718,-38.5011,PTO_IBAMA
2692802,-22.7902,-46.4455,FINAL
2692869,-22.0174,-47.886,PTO_IBAMA
2692959,-23.6229,-46.5548,FINAL
2693168,-23.5208,-46.1854,PTO_IBAMA
2693392,-22.7338,-47.6476,FINAL
2693880,-21.7845,-48.178,FINAL
2694218,-23.5329,-46.6395,FINAL
2694835,-22.0174,-47.886,FINAL
2695045,-23.2093,-47.5251,FINAL
2695132,-23.2983,-45.9658,FINAL
2695312,-20.0818,-44.5801,PTO_IBAMA
2695523,-23.2221,-44.7175,FINAL
2695545,-23.5329,-46.6395,FINAL
2695699,-23.5329,-46.6395,FINAL
2696398,-20.4438,-48.0129,FINAL
2696546,-23.5329,-46.6395,FINAL
2696820,-23.5329,-46.6395,FINAL
2696878,-22.2171,-49.9501,FINAL
2696944,-23.2544,-47.2927,FINAL
2697065,-22.2171,-49.9501,PTO_IBAMA
2697226,-23.7951,-45.4143,FINAL
2697296,-23.4969,-47.4451,FINAL
2697630,-21.7029,-47.2703,FINAL
2698399,-20.3203,-49.9141,PTO_IBAMA
2698458,-23.5057,-46.879,FINAL
2698678,-23.5329,-46.6395,FINAL
2699255,-20.8948,-51.3786,FINAL
2699400,-23.5329,-46.6395,FINAL
2699831,-24.0084,-46.4121,PTO_IBAMA
2699855,-20.2806,-50.2471,FINAL
2699923,-23.4538,-46.5333,FINAL
2700895,-23.4439,-46.9178,FINAL
2701453,-23.2983,-45.9658,FINAL
2701669,-20.768,-49.7184,FINAL
2701842,-23.3965,-46.32,FINAL
2702301,-23.8486,-46.1396,FINAL
2702392,-23.4332,-45.0834,FINAL
2702527,-20.6752,-50.1513,FINAL
2702879,-23.5329,-46.6395,PTO_IBAMA
2703241,-20.3468,-46.8456,FINAL
2703267,-23.5329,-46.6395,FINAL
2703407,-22.3984,-47.5546,FINAL
2703477,-23.5448,-46.3112,PTO_IBAMA
2703610,-23.9888,-46.258,FINAL
2703897,-23.4538,-46.5333,FINAL
2704275,-23.4332,-45.0834,FINAL
2704775,-23.5329,-46.6395,FINAL
2704847,-23.2544,-47.2927,FINAL
2705038,-23.7785,-45.3552,FINAL
2705116,-23.1171,-46.5563,FINAL
2705209,-23.5057,-46.879,FINAL
2705249,-20.8113,-49.3758,FINAL
2706110,-23.5288,-45.8465,FINAL
2706517,-23.1896,-45.8841,FINAL
2706651,-23.5329,-46.6395,FINAL
2706692,-20.4237,-49.9781,FINAL
2706868,-23.2983,-45.9658,PTO_IBAMA
2707034,-23.4439,-46.9178,FINAL
2707144,-23.1896,-45.8841,FINAL
2707158,-23.5329,-46.6395,FINAL
2707347,-20.2806,-50.2471,FINAL
2707458,-23.5329,-46.6395,FINAL
2708325,-23.1896,-45.8841,FINAL
